association,rank_within_direction,ensembl_gene_id,symbol,spearman_rho,p_value,BH_FDR,RNA_direction,RNA_average_post_log2FC,RNA_average_post_FDR
Positive,22,ENSMUSG00000108322,5430431A17Rik,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.51010813230521,0.00000000000000000150294482494837
Positive,22,ENSMUSG00000029095,Ablim2,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.38756580751897,0.00000157370374170689
Positive,22,ENSMUSG00000032735,Ablim3,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.33049674525603,0.00000000000000000117860523774929
Positive,22,ENSMUSG00000049565,Aknad1,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.3115404728262,0.00000084907433672102
Positive,22,ENSMUSG00000024885,Aldh3b1,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.20122213674694,0.0000000000000000000000000000453471005048621
Positive,22,ENSMUSG00000040694,Apobec2,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.41513522679265,0.00000000000000016679472043721
Positive,22,ENSMUSG00000030730,Atp2a1,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.82684271955755,0.0000000000000000000000000000000000984037396607883
Positive,22,ENSMUSG00000021373,Cap2,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.39697454264266,0.000000000000000142828168289162
Positive,22,ENSMUSG00000006362,Cbfa2t3,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.55318876560716,0.000000000000237145205880636
Positive,22,ENSMUSG00000026253,Chrng,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.82944879556409,0.000000000101322122803562
Positive,22,ENSMUSG00000030399,Ckm,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.83096889299591,0.00000000000000000000000255772513680932
Positive,22,ENSMUSG00000023959,Clic5,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.8615992940474,0.0000000000000000000174208691501588
Positive,22,ENSMUSG00000023078,Cxcl13,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.19256038517765,0.0000706105848849902
Positive,22,ENSMUSG00000026564,Dusp27,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.14504720234758,0.00000000000000000000000000000000000663896410763859
Positive,22,ENSMUSG00000043251,Exoc3l,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.00313056100796,0.00000118283974363689
Positive,22,ENSMUSG00000050503,Fbxl22,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.21796227162719,0.0000000392428676008643
Positive,22,ENSMUSG00000048373,Fgfbp1,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.81944783190841,0.000000000466845081666612
