met_id,feature,mz,rt_min,accepted_compound_id,accepted_description,adducts,formula,trajectory_direction,average_post_log2FC,average_post_fdr,Early_D0,Early_D1,Early_D6,Middle_D0,Middle_D1,Middle_D6,Late_D0,Late_D1,Late_D6
MET489,2.67_775.5480m/z,775.54798,2.665066667,PG006,18:0-18:2 PG,M+H,C42H79O10P,lower,-1.25883224617473,0.0000000000224268402790704,6.64097924890455,8.76818387406966,10.7926506676104,5.30196521280411,6.63083789230507,9.59785452187665,6.78634340557491,7.8018696846733,9.7261592509885
MET488,2.67_716.5498m/z,716.5497941,2.669083333,"","","","",lower,-1.04982486748638,0.0000000000224268402790704,9.79900317445528,12.3517791901048,13.6528600637589,3.84552127308829,10.6470072343177,12.7837392116927,10.1293894854612,12.0129471746532,12.18636258746
MET368,2.25_752.5228m/z,752.5228166,2.254233333,PC007,[PC 32:2] 16:1 (?9-Cis) PC,M+Na,C40H76NO8P,lower,-4.71543962201103,0.0000000000236152607834097,-0.202521014560307,8.85962477408454,11.7093356045234,-2.54102837537468,-2.20769504204135,8.15506437580109,-2.54102837537468,6.37637786450437,7.30303511246397
MET096,0.98_446.2872n,485.3243881,0.977466667,"","","M+NH4, M+K","",lower,-4.41098490584477,0.0000000000542117404392396,2.4991908593638,3.49581029528677,10.5746247767137,2.63772588420727,2.49784259951368,4.79290448668509,1.86808797332987,2.68374086133317,3.57990417896466
MET107,1.12_388.3192n,411.3082142,1.116916667,"","","M+H, M+Na","",lower,-1.48069601490129,0.0000000000612303463314534,2.35684078679013,8.0701730708416,12.4007136237675,2.35684078679013,3.37962492895366,11.5848013525445,2.35684078679013,7.69531297673225,11.045990089677
MET290,1.81_367.3194m/z,367.3194204,1.807666667,"","","","",higher,1.45327501275321,0.0000000000987331648987933,4.60803828833442,9.87064662359008,7.60855574075306,2.58651948836787,10.3358862762913,9.59323637154075,2.9198528217012,10.5885315450931,9.55130170746162
MET863,5.69_890.8587m/z,890.8587179,5.685033333,"","","","",higher,3.25922997281086,0.000000000103544520372237,2.63264285337001,2.63264285337001,5.23971600414879,2.63264285337001,2.63264285337001,9.21225469735479,2.63264285337001,2.63264285337001,11.4288576972772
MET075,0.75_496.3417m/z,496.3416763,0.753983333,LPC004,16:0 Lyso PC,M+H,C24H50NO7P,lower,-1.2742644566972,0.000000000227974333656495,11.3363120203012,10.6016933840997,9.47688445452108,10.5436577085826,9.25873523324795,8.99932461827663,10.7148941395936,8.39023718390374,8.71495020676649
MET747,3.80_815.7015m/z,815.7014828,3.8015,SM010,24:0 SM (d18:1/24:0),M+H,C47H95N2O6P,higher,1.54629722803162,0.000000000611380064885887,6.92586118087642,8.98408430818548,12.0349728243625,4.46158933403506,10.9638258727032,12.4373196812495,8.58530125118051,11.025067573419,12.4048115081267
MET640,3.15_759.6401m/z,759.6401046,3.147533333,SM008,20:0 SM (d18:1/20:0),M+H,C43H87N2O6P,higher,3.53170024274958,0.00000000189489682507808,1.42003705573352,2.26271993508158,4.2597695338885,1.42003705573352,5.55993291237396,7.6169035636348,4.54476344735573,7.3457801017808,9.81230367594249
