met_id,feature,mz,rt_min,accepted_compound_id,accepted_description,adducts,formula,lipid_direction,lipid_average_post_log2FC,lipid_average_post_fdr,ensembl_gene_id,symbol,RNA_direction,RNA_average_post_log2FC,RNA_average_post_fdr,n_conditions,spearman_rho,p_value_unadjusted,fdr_BH_key_feature_space,absolute_spearman_rho,direction_relationship,leave_one_out_min_rho,leave_one_out_max_rho,leave_one_out_min_absolute_rho,leave_one_out_sign_consistent
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000074264,Amy1,higher,1.3580796019161,0.0000000261133563810678,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000079343,C1s2,higher,1.96466147946279,0.000000000112122141816154,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000026365,Cfh,higher,1.45608142184609,0.0000000000000000000000000383409210992003,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000046818,Ddit4l,higher,1.05075235334025,0.00000000000000056206490993599,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000046179,E2f8,lower,-1.03793156163405,0.00000000000000000000000000000000000316648824097366,9,-0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,opposite passage direction,-1,-0.994029797388005,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000118212,ENSMUSG00000118212,higher,1.43109505924071,0.0000182101166573832,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000101394,Gm28183,higher,1.22450144710613,0.000260821393695599,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000031289,Il13ra2,higher,1.96544371455892,0.00000000000165454714638735,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000032925,Itgbl1,higher,2.5122013514782,0.000000000000134832707481455,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000057604,Lmcd1,higher,1.14592589476809,0.00000000000338360041380575,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000034614,Pik3ip1,higher,1.66673710598553,0.00000000000000000000000000000000238498981755608,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000038738,Shank1,higher,1.25413278431233,0.000429536003323085,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000029999,Tgfa,lower,-1.10216537926759,0.00210884350910769,9,-0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,opposite passage direction,-1,-0.994029797388005,0.994029797388005,TRUE
MET505,2.74_341.3055m/z,341.3054898,2.74055,"","","","",higher,4.40140779613043,0.000446211373761654,ENSMUSG00000036570,Fxyd1,higher,1.94247090035342,0.0000000364999773895278,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000025163,Cd7,higher,1.38190289804966,0.0000322597969779071,9,0.987314496989884,0.000000747731274351386,0.00107962421773942,0.987314496989884,same passage direction,0.981761387347632,1,0.981761387347632,TRUE
MET505,2.74_341.3055m/z,341.3054898,2.74055,"","","","",higher,4.40140779613043,0.000446211373761654,ENSMUSG00000113771,Gm36529,higher,2.04292196833232,0.00000000691180500315949,9,0.987314496989884,0.000000747731274351386,0.00107962421773942,0.987314496989884,same passage direction,0.981761387347632,1,0.981761387347632,TRUE
