ensembl_gene_id,symbol,trajectory_direction,average_post_log2FC,average_post_fdr,Early_D0,Early_D1,Early_D6,Middle_D0,Middle_D1,Middle_D6,Late_D0,Late_D1,Late_D6
ENSMUSG00000031097,Tnni2,lower,-2.34570446380314,0.000000000000243520373918707,3.81172556470099,7.68740592387846,12.0856079785713,1.73021294463591,5.85841543513893,11.4635225538384,0.592929696274953,4.39549259717591,10.5341308738668
ENSMUSG00000078247,Airn,lower,-1.16138122692635,0.000000000000246774595538075,4.44386787192486,6.22930017186112,6.61861656304603,4.41349593338338,4.9233196890996,6.18469536219284,4.55622971796672,5.13668573208255,5.78105391707852
ENSMUSG00000028713,Cyp4b1,higher,2.73294615522933,0.000000000000261879013414022,0.332682073129159,1.68835713136476,1.29049915116724,0,2.98296526396603,3.48586729559311,1.77479847187904,3.92311021064955,4.78121285114835
ENSMUSG00000037940,Inpp4b,lower,-1.57460630657496,0.000000000000270517149468505,2.42950538306226,5.86888726934441,10.7172133800276,2.87774099495003,4.63315752807572,10.6382374903209,3.47640505626792,3.92472476292967,9.68179056857245
ENSMUSG00000038156,Spon1,lower,-1.62371149968209,0.000000000000274199170425567,6.58125667280406,6.31271033301281,5.10629872389295,5.52780706717415,5.18663028680916,4.29337735629617,5.47095166757044,3.9581389696432,3.39090762656793
ENSMUSG00000086825,Gm15675,lower,-2.11211141978086,0.000000000000307000855600854,4.24239203982167,5.20558705573564,5.36643522788231,2.58647298527853,3.54442502127746,3.81425461546689,0.331007350626202,2.04368605866608,3.05365979732052
ENSMUSG00000022054,Nefm,lower,-2.47230092259814,0.000000000000323140846739565,11.5018833986799,9.40456340501562,5.71256723180532,9.94798152905545,8.17910033482258,4.33224603969116,7.62815455851187,6.62577816653983,1.76714477206754
ENSMUSG00000023391,Dlx2,higher,1.01857357860136,0.000000000000347615284111295,6.66182496951312,4.56502832944182,4.73035376924763,6.46497310966726,5.41324695635348,5.51293473747566,7.27089658088102,6.10350610029666,5.47203006400479
ENSMUSG00000071715,Ncf4,higher,2.85156782290741,0.000000000000363053376283614,0.33687539617678,1.12623815357802,0.961712829427988,0.659084066948268,3.20933929885704,1.4960363803758,0,4.49166247471968,3.20160077085762
ENSMUSG00000020401,Fam71b,lower,-2.50709855639254,0.000000000000367358832708674,2.42118840142269,3.53564413685759,5.0049893451412,0.659084066948268,2.16329832304144,3.93389069558821,0,0.332976157034891,3.46735045459902
